Startpoint,Data_Arrival_Time,Data_Required_Time,Slack,Status,Port_Name,Port_Delay,Library_Setup_Time
axis_in_tid[2],0.106,1.941,1.835,MET,,,-0.039
axis_in_tdata[134],0.106,1.941,1.835,MET,axis_in_tdata[134],0.005,-0.039
axis_in_tdata[62],0.106,1.941,1.835,MET,axis_in_tdata[62],0.005,-0.039
axis_in_tdata[117],0.106,1.941,1.835,MET,axis_in_tdata[117],0.005,-0.039
axis_in_tdata[134],0.106,1.941,1.835,MET,axis_in_tdata[134],0.005,-0.039
axis_in_tdata[117],0.106,1.941,1.835,MET,axis_in_tdata[117],0.005,-0.039
axis_in_tdata[62],0.106,1.941,1.835,MET,axis_in_tdata[62],0.005,-0.039
axis_in_tdata[115],0.106,1.941,1.835,MET,axis_in_tdata[115],0.005,-0.039
axis_in_tdata[115],0.106,1.941,1.835,MET,axis_in_tdata[115],0.005,-0.039
axis_in_tdata[134],0.106,1.941,1.835,MET,axis_in_tdata[134],0.005,-0.039
axis_in_tdata[59],0.106,1.941,1.835,MET,axis_in_tdata[59],0.005,-0.039
axis_in_tdata[146],0.106,1.941,1.835,MET,axis_in_tdata[146],0.005,-0.039
axis_in_tdata[134],0.106,1.941,1.835,MET,axis_in_tdata[134],0.005,-0.039
axis_in_tdata[146],0.106,1.941,1.835,MET,axis_in_tdata[146],0.005,-0.039
axis_in_tdata[146],0.106,1.941,1.835,MET,axis_in_tdata[146],0.005,-0.039
axis_in_tdata[146],0.106,1.941,1.835,MET,axis_in_tdata[146],0.005,-0.039
axis_in_tdata[117],0.106,1.941,1.835,MET,axis_in_tdata[117],0.005,-0.039
axis_in_tdata[117],0.106,1.941,1.835,MET,axis_in_tdata[117],0.005,-0.039
axis_in_tdest[7],0.106,1.941,1.835,MET,,,-0.039
axis_in_tdata[121],0.106,1.941,1.835,MET,axis_in_tdata[121],0.005,-0.039
axis_in_tdata[115],0.106,1.941,1.835,MET,axis_in_tdata[115],0.005,-0.039
axis_in_tdata[107],0.106,1.941,1.835,MET,axis_in_tdata[107],0.005,-0.039
axis_in_tdata[107],0.106,1.941,1.835,MET,axis_in_tdata[107],0.005,-0.039
axis_in_tdata[20],0.106,1.941,1.835,MET,axis_in_tdata[20],0.005,-0.039
axis_in_tdata[20],0.106,1.941,1.835,MET,axis_in_tdata[20],0.005,-0.039
axis_in_tdata[22],0.106,1.941,1.835,MET,axis_in_tdata[22],0.005,-0.039
axis_in_tdata[121],0.106,1.941,1.835,MET,axis_in_tdata[121],0.005,-0.039
axis_in_tdata[115],0.106,1.941,1.835,MET,axis_in_tdata[115],0.005,-0.039
axis_in_tdata[121],0.106,1.941,1.835,MET,axis_in_tdata[121],0.005,-0.039
axis_in_tdata[22],0.106,1.941,1.835,MET,axis_in_tdata[22],0.005,-0.039
axis_in_tdata[20],0.106,1.941,1.835,MET,axis_in_tdata[20],0.005,-0.039
axis_in_tdata[60],0.106,1.941,1.835,MET,axis_in_tdata[60],0.005,-0.039
axis_in_tdata[136],0.106,1.941,1.835,MET,axis_in_tdata[136],0.005,-0.039
axis_in_tdata[136],0.106,1.941,1.835,MET,axis_in_tdata[136],0.005,-0.039
axis_in_tdata[136],0.106,1.941,1.835,MET,axis_in_tdata[136],0.005,-0.039
axis_in_tdata[107],0.106,1.941,1.835,MET,axis_in_tdata[107],0.005,-0.039
axis_in_tdata[22],0.106,1.941,1.835,MET,axis_in_tdata[22],0.005,-0.039
axis_in_tdata[20],0.106,1.941,1.835,MET,axis_in_tdata[20],0.005,-0.039
axis_in_tdata[21],0.106,1.941,1.835,MET,axis_in_tdata[21],0.005,-0.039
axis_in_tdata[21],0.106,1.941,1.835,MET,axis_in_tdata[21],0.005,-0.039
axis_in_tdest[5],0.106,1.941,1.835,MET,,,-0.039
axis_in_tdata[46],0.106,1.941,1.835,MET,axis_in_tdata[46],0.005,-0.039
axis_in_tdata[21],0.106,1.941,1.835,MET,axis_in_tdata[21],0.005,-0.039
axis_in_tdata[61],0.106,1.941,1.835,MET,axis_in_tdata[61],0.005,-0.039
axis_in_tdest[5],0.106,1.941,1.835,MET,,,-0.039
axis_in_tdata[21],0.106,1.941,1.835,MET,axis_in_tdata[21],0.005,-0.039
axis_in_tdata[107],0.106,1.941,1.835,MET,axis_in_tdata[107],0.005,-0.039
axis_in_tdata[22],0.106,1.941,1.835,MET,axis_in_tdata[22],0.005,-0.039
axis_in_tdata[147],0.106,1.941,1.835,MET,axis_in_tdata[147],0.005,-0.039
axis_in_tdata[136],0.106,1.941,1.835,MET,axis_in_tdata[136],0.005,-0.039
axis_in_tdata[59],0.106,1.941,1.835,MET,axis_in_tdata[59],0.005,-0.039
axis_in_tdest[5],0.106,1.941,1.835,MET,,,-0.039
axis_in_tdata[147],0.106,1.941,1.835,MET,axis_in_tdata[147],0.005,-0.039
